Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N2 ,7501 - 12000 kg,Euro 0,70.716009,0.007931113,439,473.96,487.93,444,451.02,455.66,1141.04,921.32,921.32,536.96,501.75,510.46,604.75,566.21,523.82,1141.04,1141.04,1023.59,741.25,672.55,598.42,760.34,730.88,680.33,1141.04,1141.04,1141.04,501.2,523.68,523.68,467.66,483.08,483.08,921.32,921.32,921.32
Diesel,N2 ,7501 - 12000 kg,Euro 1,70.716009,0.013822796,397.18,434.92,448.81,388.27,407.49,415.63,913.8,770.16,770.16,443.7,425.63,459.74,515.6,446.39,450.19,913.8,913.8,834.91,608.98,583.47,510.69,624.74,597.23,571.77,913.8,913.8,913.8,447.64,465.39,465.39,426.3,439.81,439.81,770.16,770.16,770.16
Diesel,N2 ,7501 - 12000 kg,Euro 2,70.716009,0.021527306,386.35,424.19,438.31,375.12,396.15,405.13,847.19,721.46,721.46,420.95,408.41,447.24,490,422,432.64,847.19,847.19,772.6,573.65,556.14,485.74,587.56,554.06,540,847.19,847.19,847.19,436.84,452.7,452.7,416.41,429.3,429.3,721.46,721.46,721.46
Diesel,N2 ,7501 - 12000 kg,Euro 3,70.716009,0.037842737,397.64,438.07,454.42,389.15,408.5,417.57,908.53,771.57,771.57,448.5,430.3,471.68,522.77,452.62,458,908.53,908.53,821.6,613.31,588.94,518.22,627.82,595.6,578.4,908.53,908.53,908.53,467.48,485.93,485.93,433.54,448.73,448.73,771.57,771.57,771.57
Diesel,N2 ,7501 - 12000 kg,Euro 4,70.716009,0.025832767,387.25,425.99,441.71,373.87,397.32,406.22,802.86,691.59,691.59,429.66,415.97,461.42,479.83,431.09,441.58,802.86,802.86,724.86,573.71,559.85,477.45,580.6,558.76,549.82,802.86,802.86,802.86,453.02,478.13,478.13,419.9,434.76,434.76,691.59,691.59,691.59
Diesel,N2 ,7501 - 12000 kg,Euro 5,70.716009,0.038522547,387.89,425.68,441.38,375.33,397.88,406.65,795.95,697.31,697.31,432.06,417.56,462.05,483.19,434.38,444,795.95,795.95,729.36,576.93,559.13,480.75,584.02,562.15,556.19,795.95,795.95,795.95,452.17,477.38,477.38,419.65,434.23,434.23,697.31,697.31,697.31
Diesel,N2 ,7501 - 12000 kg,Euro 6,70.716009,0.109222751,386.18,423.33,438.91,375.31,396.43,404.67,801.89,705.61,705.61,436.23,419.31,461.33,489.68,439.54,445.45,801.89,801.89,733.15,583.53,562.67,487.3,590.31,570.26,562.96,801.89,801.89,801.89,449.09,473.18,473.18,417.39,431.53,431.53,705.61,705.61,705.61
Diesel,N3,12001 - 14000 kg,Euro 0,70.716009,0.002945842,469.61,504.78,521,465.65,481.09,486.29,1279.41,1032.77,1032.77,554.28,530.8,563.46,634.47,581.12,563.76,1279.41,1279.41,1162.65,818.91,745.4,627.27,840.4,797.94,710.3,1279.41,1279.41,1279.41,523.96,543.55,543.55,496.3,511.24,511.24,1032.77,1032.77,1032.77
Diesel,N3,12001 - 14000 kg,Euro 1,70.716009,0.004078858,421.9,459.06,473.72,409.82,432.42,439.98,1032.98,864.8,864.8,465.05,454.52,500.27,551.56,462.46,485.55,1032.98,1032.98,956.48,680.3,650.64,545.95,698.57,649.72,610.53,1032.98,1032.98,1032.98,463.65,480.67,480.67,447.5,460.55,460.55,864.8,864.8,864.8
Diesel,N3,12001 - 14000 kg,Euro 2,70.716009,0.002266032,409.98,447.16,460.95,397.72,420.25,428.29,956.56,812.48,812.48,448.58,439.32,484.91,527.89,441.59,468.57,956.56,956.56,891.4,641.59,625.2,523.02,657.61,616.51,584.74,956.56,956.56,956.56,451.19,468.05,468.05,435.73,448.44,448.44,812.48,812.48,812.48
