Fuel type,N2/N3,Weghit,Standart,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,N2 ,7501 - 12000 kg,Euro 0,0.01,13.73,16.47,17.81,15.56,16.13,14.94,210,159,159,38.21,29.3,42.43,70.8,20.96,39.05,210,210,185.59,102.9,94.33,68.81,108.66,92.78,82.22,210,210,210,5.44,5.68,5.68,10.12,11.23,11.23,159,159,159,15.32,9.01,10.58,29.35,12.47,12.67,185.59,185.59,185.59,80.92,19.4,32.65,91,70.91,48.55,210,210,210,59.48,69.52,74.48,58.64,63.05,64.41,277.06,214.39,214.39
Diesel,N2 ,7501 - 12000 kg,Euro 1,0.01,11.87,14.14,15.23,13.32,13.68,12.92,168.37,129.88,129.88,31.14,23.8,35.84,58.67,17.61,32.09,168.37,168.37,149.65,83.18,78.67,57.12,87.7,79.08,68.56,168.37,168.37,168.37,4.36,4.46,4.46,8.47,9.43,9.43,129.88,129.88,129.88,13.19,7.86,9.13,23.32,10.12,10.29,149.65,149.65,149.65,69.57,17.06,26.46,76.02,58.95,38.27,168.37,168.37,168.37,48.88,58.13,62.4,48.54,52.92,53.29,221.36,176.54,176.54
Diesel,N2 ,7501 - 12000 kg,Euro 2,0.02,11.4,13.8,14.66,12.87,13.23,12.74,152.34,119.39,119.39,29.41,22.74,34.69,54.24,17.11,30.1,152.34,152.34,134.61,76.17,74.02,52.89,80.07,74.57,64.26,152.34,152.34,152.34,4.42,4.58,4.58,8.44,9.21,9.21,119.39,119.39,119.39,12.88,7.9,8.78,22.04,9.79,10.12,134.61,134.61,134.61,66.67,16.82,25.01,70.88,54.56,35.3,152.34,152.34,152.34,46.74,55.52,59.27,46.2,50.46,51.19,202.19,163.92,163.92
Diesel,N2 ,7501 - 12000 kg,Euro 3,0.04,15.45,17.69,18.16,17.73,17.04,16.3,171.31,133.07,133.07,36.77,28.77,40.18,61.87,24.67,36.54,171.31,171.31,151.04,88.5,82.87,60.44,92.57,84.88,73.19,171.31,171.31,171.31,7.61,7.46,7.46,12.49,13.11,13.11,133.07,133.07,133.07,16.58,11.86,12.15,27.44,14.26,14.61,151.04,151.04,151.04,74.59,24.66,30.98,80.86,61.9,42.97,171.31,171.31,171.31,49.54,58.26,61.78,50.43,53.62,53.72,221.69,177.86,177.86
Diesel,N2 ,7501 - 12000 kg,Euro 4,0.03,7.04,8.94,10.02,7.91,8.78,8.93,126.5,98.03,98.03,23.09,17.48,31.16,45.39,9.59,24.91,126.5,126.5,109.03,64.15,67.3,44.64,66.23,64.03,55.19,126.5,126.5,126.5,1.2,1.56,1.56,3.91,4.52,4.52,98.03,98.03,98.03,8.49,3.17,3.97,18.33,6.11,6.41,109.03,109.03,109.03,60.57,9.17,19.8,59.78,44.59,29.32,126.5,126.5,126.5,42.54,52.09,55.64,41.56,46.53,47.43,180.98,148.06,148.06
Diesel,N2 ,7501 - 12000 kg,Euro 5,0.04,7.05,8.93,9.92,7.97,8.77,8.85,125.88,99.46,99.46,23.28,17.52,31.26,45.97,9.61,25.26,125.88,125.88,110.1,64.68,66.8,45.2,66.8,64.06,56.34,125.88,125.88,125.88,1.21,1.56,1.56,3.92,4.53,4.53,99.46,99.46,99.46,8.45,3.17,3.95,18.37,6.14,6.44,110.1,110.1,110.1,60.72,9.43,19.87,60.67,44.64,29.54,125.88,125.88,125.88,42.54,52.18,55.67,41.76,46.49,47.45,179.84,149.36,149.36
Diesel,N2 ,7501 - 12000 kg,Euro 6,0.11,6.98,8.74,9.78,7.95,8.67,8.7,128.95,102,102,23.76,17.74,31.58,47.14,9.81,25.66,128.95,128.95,111.63,65.92,67.76,46.4,68,65.09,57.49,128.95,128.95,128.95,1.19,1.56,1.56,3.85,4.45,4.45,102,102,102,8.37,3.12,3.9,18.65,6.16,6.41,111.63,111.63,111.63,7.2,17.97,17.13,61.51,7.47,29.55,128.95,128.95,128.95,41.92,51.78,55.42,41.61,46.07,46.81,182.69,151.86,151.86
Diesel,N3,12001 - 14000 kg,Euro 0,0,12.6,14.08,15.33,13.66,14.1,13.2,237.13,177.2,177.2,36.82,28.98,45.29,70.45,21.52,40.22,237.13,237.13,211.26,108.99,102.87,68.19,116.06,105.58,87.17,237.13,237.13,237.13,5.12,4.88,4.88,8.38,9.68,9.68,177.2,177.2,177.2,13.6,7.43,8.99,29.83,11.23,11.31,211.26,211.26,211.26,91.02,19.09,32.5,97.36,74.93,48.76,237.13,237.13,237.13,53.25,62.52,67.23,53.54,57.28,57.7,310.65,238.54,238.54
Diesel,N3,12001 - 14000 kg,Euro 1,0,11.12,12.44,13.45,12.1,12.21,11.66,190.54,144.96,144.96,30.26,23.83,38.33,58.85,18.08,33.53,190.54,190.54,170.24,88.71,86.64,57.09,94.23,90.38,73.52,190.54,190.54,190.54,4.26,3.98,3.98,7.23,8.3,8.3,144.96,144.96,144.96,11.93,6.57,7.87,23.94,9.3,9.39,170.24,170.24,170.24,78.3,16.65,26.64,82.05,62.72,38.55,190.54,190.54,190.54,45.05,53,56.91,45.26,49.12,48.84,248.42,197.06,197.06
Diesel,N3,12001 - 14000 kg,Euro 2,0,10.96,12.13,13.11,11.84,11.93,11.52,170.79,131.81,131.81,28.85,22.66,36.64,54.99,17.26,31.84,170.79,170.79,154.17,81.93,81.33,53.46,86.72,84.15,69.37,170.79,170.79,170.79,4.52,4.19,4.19,7.16,8.2,8.2,131.81,131.81,131.81,11.74,6.53,7.75,22.63,9.12,9.25,154.17,154.17,154.17,74.6,16.11,25.23,76.9,58.54,35.59,170.79,170.79,170.79,43.23,50.59,53.86,43.5,47.29,46.95,226.57,182.71,182.71
