Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N2 ,7501 - 12000 kg,Euro 0,0.334,0.0079,0.55,0.4708,0.4649,0.6675,0.5285,0.4993,2.9213,2.0552,2.0552,0.9642,0.7752,0.6366,1.3293,0.8881,0.7685,2.9213,2.9213,2.3616,1.8003,1.2646,1.3165,1.8395,1.5978,1.2502,2.9213,2.9213,2.9213,0.4576,0.457,0.457,0.47,0.4657,0.4657,2.0552,2.0552,2.0552
Diesel,N2 ,7501 - 12000 kg,Euro 1,0.334,0.0138,0.3807,0.3587,0.3623,0.4255,0.3603,0.3574,1.1897,0.8848,0.8848,0.4945,0.4569,0.4111,0.6214,0.4707,0.4513,1.1897,1.1897,0.9657,0.7752,0.5968,0.6174,0.7869,0.6978,0.6152,1.1897,1.1897,1.1897,0.3711,0.3725,0.3725,0.3608,0.3651,0.3651,0.8848,0.8848,0.8848
Diesel,N2 ,7501 - 12000 kg,Euro 2,0.334,0.0215,0.2254,0.234,0.2392,0.2377,0.2278,0.229,0.7665,0.5669,0.5669,0.3066,0.2647,0.2598,0.3937,0.2953,0.2753,0.7665,0.7665,0.6277,0.4886,0.3751,0.3909,0.4966,0.448,0.387,0.7665,0.7665,0.7665,0.2445,0.2468,0.2468,0.2352,0.2391,0.2391,0.5669,0.5669,0.5669
Diesel,N2 ,7501 - 12000 kg,Euro 3,0.334,0.0378,0.1884,0.1877,0.1902,0.1977,0.1869,0.1874,0.6979,0.5134,0.5134,0.272,0.2237,0.2162,0.3544,0.2641,0.2344,0.6979,0.6979,0.5562,0.4385,0.3317,0.3521,0.4451,0.4041,0.3437,0.6979,0.6979,0.6979,0.1948,0.1951,0.1951,0.1906,0.1917,0.1917,0.5134,0.5134,0.5134
Diesel,N2 ,7501 - 12000 kg,Euro 4,0.334,0.0258,0.0361,0.0308,0.0298,0.037,0.0344,0.0335,0.0726,0.0593,0.0593,0.0401,0.0397,0.0371,0.0466,0.0403,0.0397,0.0726,0.0726,0.0605,0.051,0.0455,0.0463,0.0518,0.0453,0.0474,0.0726,0.0726,0.0726,0.031,0.0355,0.0355,0.0321,0.0303,0.0303,0.0593,0.0593,0.0593
Diesel,N2 ,7501 - 12000 kg,Euro 5,0.334,0.0385,0.0458,0.0432,0.0436,0.0486,0.0463,0.0447,0.1231,0.0983,0.0983,0.0582,0.0535,0.0494,0.071,0.058,0.0541,0.1231,0.1231,0.1065,0.083,0.0674,0.0704,0.0849,0.0749,0.0697,0.1231,0.1231,0.1231,0.0441,0.0439,0.0439,0.044,0.0437,0.0437,0.0983,0.0983,0.0983
Diesel,N2 ,7501 - 12000 kg,Euro 6,0.334,0.1092,0.0211,0.0189,0.0188,0.0228,0.0212,0.0202,0.0606,0.0477,0.0477,0.0278,0.0254,0.0231,0.0338,0.0277,0.0254,0.0606,0.0606,0.0525,0.0401,0.0321,0.0335,0.0411,0.0362,0.0329,0.0606,0.0606,0.0606,0.0192,0.0186,0.0186,0.0194,0.0188,0.0188,0.0477,0.0477,0.0477
Diesel,N3,12001 - 14000 kg,Euro 0,0.334,0.0029,0.618,0.5555,0.5519,0.6829,0.6093,0.5966,3.2023,2.2242,2.2242,1.0124,0.816,0.7117,1.3994,0.9019,0.832,3.2023,3.2023,2.6928,2.0131,1.3799,1.3848,2.0493,1.6753,1.3106,3.2023,3.2023,3.2023,0.5327,0.5324,0.5324,0.564,0.5513,0.5513,2.2242,2.2242,2.2242
Diesel,N3,12001 - 14000 kg,Euro 1,0.334,0.0041,0.4391,0.42,0.4076,0.4401,0.4319,0.4441,1.31,0.9765,0.9765,0.5317,0.4976,0.4703,0.6565,0.4961,0.4963,1.31,1.31,1.1328,0.8844,0.6832,0.652,0.895,0.7652,0.657,1.31,1.31,1.31,0.3977,0.3947,0.3947,0.4238,0.4161,0.4161,0.9765,0.9765,0.9765
Diesel,N3,12001 - 14000 kg,Euro 2,0.334,0.0023,0.2626,0.2584,0.2587,0.2627,0.2607,0.2641,0.8396,0.6152,0.6152,0.3274,0.2945,0.2917,0.4085,0.3082,0.3047,0.8396,0.8396,0.7214,0.5537,0.4298,0.4053,0.5629,0.4822,0.4033,0.8396,0.8396,0.8396,0.2596,0.2607,0.2607,0.2592,0.2604,0.2604,0.6152,0.6152,0.6152
Diesel,N3,12001 - 14000 kg,Euro 3,0.334,0.0009,0.2185,0.2046,0.2029,0.2191,0.2134,0.2117,0.7536,0.5431,0.5431,0.2845,0.2497,0.2429,0.3573,0.2697,0.2571,0.7536,0.7536,0.6395,0.4964,0.3693,0.3547,0.5039,0.4268,0.3528,0.7536,0.7536,0.7536,0.2039,0.2036,0.2036,0.2079,0.2045,0.2045,0.5431,0.5431,0.5431
Diesel,N3,12001 - 14000 kg,Euro 4,0.334,0.0009,0.0407,0.0366,0.0347,0.0419,0.04,0.0398,0.074,0.0632,0.0632,0.0441,0.0441,0.0389,0.0478,0.046,0.0445,0.074,0.074,0.0688,0.0555,0.0496,0.0475,0.0563,0.0497,0.0506,0.074,0.074,0.074,0.0337,0.0328,0.0328,0.0377,0.0353,0.0353,0.0632,0.0632,0.0632
Diesel,N3,12001 - 14000 kg,Euro 6,0.334,0.0129,0.0248,0.0214,0.0207,0.0264,0.0242,0.0231,0.0676,0.0529,0.0529,0.0312,0.0295,0.0253,0.0362,0.0313,0.0294,0.0676,0.0676,0.0609,0.0455,0.0357,0.0358,0.0466,0.0408,0.0366,0.0676,0.0676,0.0676,0.0209,0.0208,0.0208,0.0219,0.021,0.021,0.0529,0.0529,0.0529
Diesel,N3,14001 - 20000 kg,Euro 0,0.334,0.005,0.9061,0.7817,0.748,0.9746,0.8634,0.8808,4.7362,3.279,3.279,1.503,1.1359,1.0514,2.0655,1.3644,1.1972,4.7362,4.7362,4.0236,2.9532,2.053,2.0445,3.0383,2.5846,1.9316,4.7362,4.7362,4.7362,0.7007,0.6922,0.6922,0.7864,0.7461,0.7461,3.279,3.279,3.279
Diesel,N3,14001 - 20000 kg,Euro 1,0.334,0.015,0.5719,0.5462,0.5464,0.5648,0.5473,0.5764,1.8681,1.3773,1.3773,0.7269,0.623,0.6385,0.9193,0.6869,0.6589,1.8681,1.8681,1.6381,1.25,0.9577,0.9128,1.2751,1.119,0.9122,1.8681,1.8681,1.8681,0.5531,0.5683,0.5683,0.5616,0.5482,0.5482,1.3773,1.3773,1.3773
Diesel,N3,14001 - 20000 kg,Euro 2,0.334,0.0202,0.3369,0.3317,0.3377,0.3425,0.3294,0.3334,1.1918,0.8716,0.8716,0.4518,0.3888,0.3863,0.5749,0.4312,0.4038,1.1918,1.1918,1.0547,0.7893,0.5939,0.5702,0.8076,0.6982,0.5718,1.1918,1.1918,1.1918,0.3525,0.3535,0.3535,0.3337,0.34,0.34,0.8716,0.8716,0.8716
Diesel,N3,14001 - 20000 kg,Euro 3,0.334,0.0421,0.2838,0.2738,0.2785,0.2953,0.276,0.2783,1.0691,0.7794,0.7794,0.3962,0.3395,0.328,0.5047,0.3806,0.3513,1.0691,1.0691,0.9486,0.7094,0.5209,0.501,0.7247,0.6192,0.5044,1.0691,1.0691,1.0691,0.2909,0.2886,0.2886,0.2763,0.2826,0.2826,0.7794,0.7794,0.7794
Diesel,N3,14001 - 20000 kg,Euro 4,0.334,0.0372,0.0526,0.05,0.0477,0.0536,0.0522,0.0516,0.0996,0.0838,0.0838,0.0557,0.0564,0.0529,0.0618,0.0568,0.057,0.0996,0.0996,0.0943,0.0734,0.0653,0.0614,0.0745,0.0662,0.0647,0.0996,0.0996,0.0996,0.0538,0.0546,0.0546,0.0528,0.0495,0.0495,0.0838,0.0838,0.0838
