Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N2 ,7501 - 12000 kg,Euro 0,0.0584,0.0079,6.6574,7.2723,7.4776,6.3321,6.7555,6.9675,13.4092,11.4207,11.4207,7.1201,7.1214,7.9595,7.7562,7.2839,7.5733,13.4092,13.4092,12.3429,9.3366,9.2774,7.7012,9.4756,9.3136,8.8336,13.4092,13.4092,13.4092,7.9643,8.2144,8.2144,7.4084,7.5983,7.5983,11.4207,11.4207,11.4207
Diesel,N2 ,7501 - 12000 kg,Euro 1,0.0584,0.0138,3.9037,4.2902,4.4198,3.7038,3.9692,4.1024,8.0774,6.9,6.9,4.1948,4.2363,4.8252,4.5834,4.2479,4.5248,8.0774,8.0774,7.4389,5.6019,5.5613,4.5462,5.6883,5.6025,5.2448,8.0774,8.0774,8.0774,4.8384,4.9585,4.9585,4.4201,4.5398,4.5398,6.9,6.9,6.9
Diesel,N2 ,7501 - 12000 kg,Euro 2,0.0584,0.0215,4.2238,4.4908,4.5821,4.0318,4.2467,4.3585,9.0013,7.5716,7.5716,4.5908,4.6242,5.0688,5.013,4.7495,4.8992,9.0013,9.0013,8.251,6.2028,5.9706,4.972,6.3048,5.9564,5.6685,9.0013,9.0013,9.0013,5.0347,5.1692,5.1692,4.6621,4.7405,4.7405,7.5716,7.5716,7.5716
Diesel,N2 ,7501 - 12000 kg,Euro 3,0.0584,0.0378,3.5427,3.4955,3.4763,3.2997,3.4686,3.494,7.9559,6.2849,6.2849,3.4761,3.5475,3.7323,4.0459,3.5274,3.7665,7.9559,7.9559,7.3974,5.1156,4.6989,3.9931,5.2734,4.8135,4.3189,7.9559,7.9559,7.9559,3.3962,3.4056,3.4056,3.5006,3.4674,3.4674,6.2849,6.2849,6.2849
Diesel,N2 ,7501 - 12000 kg,Euro 4,0.0584,0.0258,1.9549,1.8514,1.8701,2.1828,1.9482,1.9217,7.0101,5.7907,5.7907,3.1068,2.6187,2.3331,3.7068,3.0583,2.7369,7.0101,7.0101,6.5014,4.7112,4.0989,3.6553,4.841,4.4766,3.9313,7.0101,7.0101,7.0101,1.8804,1.9158,1.9158,1.8283,1.8391,1.8391,5.7907,5.7907,5.7907
Diesel,N2 ,7501 - 12000 kg,Euro 5,0.0584,0.0385,1.4193,1.3022,1.2902,1.5953,1.3886,1.3814,6.6055,5.1571,5.1571,2.6135,1.9768,1.6048,3.201,2.6087,2.0601,6.6055,6.6055,5.9324,4.1683,3.2858,3.1511,4.3238,3.8862,3.4018,6.6055,6.6055,6.6055,1.2332,1.2415,1.2415,1.2808,1.2614,1.2614,5.1571,5.1571,5.1571
Diesel,N2 ,7501 - 12000 kg,Euro 6,0.0584,0.1092,0.0756,0.1093,0.1157,0.1353,0.0813,0.0913,1.3357,0.6429,0.6429,0.2502,0.1754,0.0954,0.3403,0.3018,0.1689,1.3357,1.3357,0.8719,0.6028,0.2575,0.3307,0.6131,0.49,0.3147,1.3357,1.3357,1.3357,0.1249,0.1277,0.1277,0.1082,0.1157,0.1157,0.6429,0.6429,0.6429
Diesel,N3,12001 - 14000 kg,Euro 0,0.0584,0.0029,7.0256,7.6193,7.826,6.7526,7.151,7.3358,15.3501,13.1034,13.1034,7.8182,7.7729,8.6932,8.6116,7.8893,8.3037,15.3501,15.3501,14.247,10.7135,10.5915,8.549,10.8714,10.5376,9.9202,15.3501,15.3501,15.3501,8.2752,8.5291,8.5291,7.744,7.9263,7.9263,13.1034,13.1034,13.1034
Diesel,N3,12001 - 14000 kg,Euro 1,0.0584,0.0041,4.1086,4.4851,4.6138,3.9404,4.1862,4.3046,9.3942,7.9781,7.9781,4.6487,4.6453,5.2468,5.1605,4.6743,4.9963,9.3942,9.3942,8.7057,6.5182,6.3844,5.1176,6.621,6.256,5.9672,9.3942,9.3942,9.3942,5.0469,5.1972,5.1972,4.6091,4.7315,4.7315,7.9781,7.9781,7.9781
Diesel,N3,12001 - 14000 kg,Euro 2,0.0584,0.0023,4.4744,4.7203,4.8118,4.3322,4.5062,4.6065,10.4113,8.6956,8.6956,5.1611,5.0909,5.5631,5.6314,5.2876,5.4226,10.4113,10.4113,9.5642,7.1969,6.8585,5.5843,7.3163,6.8667,6.5221,10.4113,10.4113,10.4113,5.2838,5.4065,5.4065,4.902,4.9725,4.9725,8.6956,8.6956,8.6956
