Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N2 ,7501 - 12000 kg,Euro 0,0.0665,0.0079,0.4869,0.5301,0.5349,0.4595,0.4814,0.5084,0.9544,0.7382,0.7382,0.4528,0.4605,0.5278,0.5735,0.4385,0.4897,0.9544,0.9544,0.8548,0.6467,0.5957,0.5697,0.662,0.6023,0.5542,0.9544,0.9544,0.9544,0.5431,0.5458,0.5458,0.5274,0.5379,0.5379,0.7382,0.7382,0.7382
Diesel,N2 ,7501 - 12000 kg,Euro 1,0.0665,0.0138,0.2906,0.3013,0.3029,0.2901,0.282,0.2931,0.5235,0.4211,0.4211,0.2731,0.2816,0.3021,0.349,0.2641,0.2888,0.5235,0.5235,0.4421,0.3614,0.3425,0.3479,0.3679,0.3574,0.3345,0.5235,0.5235,0.5235,0.3048,0.3061,0.3061,0.2972,0.3022,0.3022,0.4211,0.4211,0.4211
Diesel,N2 ,7501 - 12000 kg,Euro 2,0.0665,0.0215,0.1397,0.1328,0.1326,0.1518,0.1398,0.1353,0.2421,0.2113,0.2113,0.1564,0.1416,0.1345,0.1948,0.1593,0.1432,0.2421,0.2421,0.2169,0.1868,0.172,0.1942,0.1918,0.2003,0.1812,0.2421,0.2421,0.2421,0.1283,0.1298,0.1298,0.1268,0.1278,0.1278,0.2113,0.2113,0.2113
Diesel,N2 ,7501 - 12000 kg,Euro 3,0.0665,0.0378,0.1027,0.1124,0.1169,0.107,0.1054,0.1055,0.269,0.2006,0.2006,0.1276,0.1095,0.1171,0.1593,0.1315,0.1168,0.269,0.269,0.2123,0.177,0.1452,0.1588,0.1797,0.1827,0.1526,0.269,0.269,0.269,0.1232,0.1259,0.1259,0.1099,0.1153,0.1153,0.2006,0.2006,0.2006
Diesel,N2 ,7501 - 12000 kg,Euro 4,0.0665,0.0258,0.0319,0.0254,0.0235,0.0379,0.0324,0.0284,0.0704,0.0606,0.0606,0.0458,0.0414,0.0338,0.0482,0.0458,0.0403,0.0704,0.0704,0.0662,0.0566,0.0478,0.0482,0.0568,0.0518,0.0487,0.0704,0.0704,0.0704,0.024,0.0245,0.0245,0.0265,0.0243,0.0243,0.0606,0.0606,0.0606
Diesel,N2 ,7501 - 12000 kg,Euro 5,0.0665,0.0385,0.0381,0.036,0.0339,0.0405,0.0378,0.0366,0.0809,0.071,0.071,0.049,0.0433,0.0366,0.0569,0.0512,0.0441,0.0809,0.0809,0.0727,0.0637,0.0522,0.0568,0.0641,0.056,0.0569,0.0809,0.0809,0.0809,0.0312,0.0317,0.0317,0.0365,0.0358,0.0358,0.071,0.071,0.071
Diesel,N2 ,7501 - 12000 kg,Euro 6,0.0665,0.1092,0.0031,0.003,0.0029,0.0032,0.0031,0.003,0.0089,0.007,0.007,0.0041,0.0035,0.0032,0.0049,0.0041,0.0036,0.0089,0.0089,0.0079,0.0058,0.0046,0.0048,0.0059,0.0054,0.0048,0.0089,0.0089,0.0089,0.0027,0.0027,0.0027,0.003,0.0029,0.0029,0.007,0.007,0.007
Diesel,N3,12001 - 14000 kg,Euro 0,0.0665,0.0029,0.5601,0.6158,0.6172,0.529,0.5628,0.5934,1.0303,0.8032,0.8032,0.5178,0.5211,0.6155,0.6306,0.5031,0.5562,1.0303,1.0303,0.919,0.6939,0.6743,0.6263,0.7169,0.6859,0.6159,1.0303,1.0303,1.0303,0.6219,0.6208,0.6208,0.6189,0.6213,0.6213,0.8032,0.8032,0.8032
Diesel,N3,12001 - 14000 kg,Euro 1,0.0665,0.0041,0.3325,0.3426,0.3371,0.3206,0.3285,0.3442,0.5781,0.4686,0.4686,0.3091,0.3181,0.3446,0.3818,0.3007,0.3255,0.5781,0.5781,0.5217,0.4139,0.4002,0.3805,0.4221,0.4095,0.3734,0.5781,0.5781,0.5781,0.3338,0.3326,0.3326,0.3423,0.3396,0.3396,0.4686,0.4686,0.4686
Diesel,N3,12001 - 14000 kg,Euro 2,0.0665,0.0023,0.1612,0.1448,0.1404,0.1742,0.1596,0.1562,0.2663,0.2346,0.2346,0.1793,0.16,0.1516,0.217,0.1883,0.1609,0.2663,0.2663,0.2605,0.2073,0.2031,0.2163,0.2133,0.2318,0.203,0.2663,0.2663,0.2663,0.1335,0.1341,0.1341,0.1394,0.1361,0.1361,0.2346,0.2346,0.2346
Diesel,N3,12001 - 14000 kg,Euro 3,0.0665,0.0009,0.1214,0.1205,0.1212,0.1212,0.1213,0.1204,0.2857,0.2147,0.2147,0.1385,0.1233,0.1319,0.1662,0.1434,0.1291,0.2857,0.2857,0.2495,0.1979,0.1676,0.1656,0.201,0.2016,0.1618,0.2857,0.2857,0.2857,0.1232,0.1251,0.1251,0.1176,0.1188,0.1188,0.2147,0.2147,0.2147
Diesel,N3,12001 - 14000 kg,Euro 4,0.0665,0.0009,0.0369,0.0288,0.0267,0.0445,0.0372,0.0328,0.0787,0.0683,0.0683,0.0534,0.0479,0.0365,0.0537,0.0569,0.0464,0.0787,0.0787,0.0736,0.0672,0.0544,0.0536,0.068,0.0618,0.059,0.0787,0.0787,0.0787,0.0257,0.0247,0.0247,0.0293,0.0275,0.0275,0.0683,0.0683,0.0683
Diesel,N3,12001 - 14000 kg,Euro 6,0.0665,0.0129,0.0035,0.0033,0.0033,0.0036,0.0034,0.0035,0.0099,0.0078,0.0078,0.0044,0.0039,0.0037,0.0052,0.0044,0.004,0.0099,0.0099,0.0091,0.0064,0.0051,0.0052,0.0066,0.006,0.0052,0.0099,0.0099,0.0099,0.0031,0.0031,0.0031,0.0034,0.0033,0.0033,0.0078,0.0078,0.0078
Diesel,N3,14001 - 20000 kg,Euro 0,0.0665,0.005,0.6218,0.6965,0.7274,0.6226,0.6517,0.6534,1.4341,1.0882,1.0882,0.6528,0.6256,0.6898,0.803,0.6385,0.6597,1.4341,1.4341,1.2734,0.9427,0.8436,0.7969,0.9615,0.9161,0.7933,1.4341,1.4341,1.4341,0.7481,0.7717,0.7717,0.6637,0.7053,0.7053,1.0882,1.0882,1.0882
Diesel,N3,14001 - 20000 kg,Euro 1,0.0665,0.015,0.3959,0.414,0.4236,0.3852,0.3979,0.406,0.7986,0.6229,0.6229,0.3868,0.3746,0.4136,0.4811,0.3856,0.3937,0.7986,0.7986,0.7148,0.5476,0.5056,0.4793,0.558,0.5381,0.4775,0.7986,0.7986,0.7986,0.4237,0.4376,0.4376,0.3973,0.4097,0.4097,0.6229,0.6229,0.6229
Diesel,N3,14001 - 20000 kg,Euro 2,0.0665,0.0202,0.2159,0.2011,0.1974,0.2323,0.2198,0.2101,0.3527,0.3067,0.3067,0.231,0.2155,0.1973,0.2711,0.2551,0.217,0.3527,0.3527,0.3411,0.265,0.2532,0.2701,0.2731,0.2947,0.2605,0.3527,0.3527,0.3527,0.176,0.1857,0.1857,0.1873,0.184,0.184,0.3067,0.3067,0.3067
Diesel,N3,14001 - 20000 kg,Euro 3,0.0665,0.0421,0.1513,0.1501,0.1553,0.1593,0.1517,0.1502,0.4002,0.301,0.301,0.1862,0.1646,0.1663,0.2202,0.2007,0.1721,0.4002,0.4002,0.3627,0.2712,0.2245,0.2193,0.2769,0.2732,0.2189,0.4002,0.4002,0.4002,0.1574,0.1637,0.1637,0.1445,0.1494,0.1494,0.301,0.301,0.301
Diesel,N3,14001 - 20000 kg,Euro 4,0.0665,0.0372,0.0595,0.0438,0.0409,0.0646,0.0557,0.0508,0.105,0.0921,0.0921,0.0717,0.0685,0.0547,0.072,0.0744,0.0664,0.105,0.105,0.0986,0.0861,0.0755,0.0719,0.0862,0.0827,0.0777,0.105,0.105,0.105,0.0445,0.0416,0.0416,0.0483,0.0426,0.0426,0.0921,0.0921,0.0921
Diesel,N3,14001 - 20000 kg,Euro 5,0.0665,0.0483,0.0616,0.0545,0.0562,0.0633,0.0598,0.0578,0.1175,0.1016,0.1016,0.0693,0.0669,0.0627,0.0743,0.0699,0.0669,0.1175,0.1175,0.1126,0.0922,0.0775,0.0741,0.0926,0.0868,0.0794,0.1175,0.1175,0.1175,0.0533,0.0529,0.0529,0.0573,0.0545,0.0545,0.1016,0.1016,0.1016
Diesel,N3,14001 - 20000 kg,Euro 6,0.0665,0.1045,0.0046,0.0045,0.0044,0.0049,0.0046,0.0045,0.0137,0.0107,0.0107,0.0059,0.0053,0.0049,0.0071,0.006,0.0054,0.0137,0.0137,0.0126,0.0088,0.007,0.007,0.0092,0.0082,0.0071,0.0137,0.0137,0.0137,0.0043,0.0043,0.0043,0.0044,0.0044,0.0044,0.0107,0.0107,0.0107
